first time, three scores, then objinputs+edgelist
32.25683
67184.56,53799.04,1
75657.81,56452.66,2
85800.59,71217.95,3
85800.59,53799.04,Fullscore
0,0,0
107,14,1
81,57,1
83,52,1
5,76,1
57,107,1
88,76,1
78,81,1
81,14,1
14,54,1
76,52,1
78,54,1
76,81,1
52,78,1
83,88,1
10,88,1
5,57,1
88,39,1
64,83,1
10,64,1
71,10,1
73,10,1
24,64,1
39,5,1
73,72,1
24,73,1
12,24,1
18,73,1
71,39,1
32,27,1
21,32,1
21,18,1
87,21,1
87,12,1
19,87,1
27,72,1
72,71,1
48,27,1
68,21,1
27,18,1
72,6,1
18,12,1
67,63,1
67,19,1
23,63,1
35,32,1
32,105,1
35,68,1
68,19,1
63,101,1
63,68,1
101,35,1
100,101,1
101,95,1
62,67,1
11,35,1
23,62,1
100,23,1
42,23,1
75,62,1
42,40,1
75,42,1
16,75,1
84,42,1
84,16,1
80,84,1
80,40,1
53,84,1
40,82,1
46,100,1
40,100,1
66,53,1
61,80,1
85,80,1
8,16,1
53,85,1
8,53,1
30,8,1
26,66,1
77,85,1
85,93,1
66,30,1
77,66,1
38,30,1
26,20,1
38,26,1
9,26,1
104,77,1
20,77,1
108,9,1
36,9,1
108,20,1
20,28,1
99,38,1
9,99,1
36,22,1
41,36,1
4,108,1
41,99,1
22,106,1
22,108,1
106,4,1
106,50,1
4,28,1
74,4,1
28,34,1
28,104,1
74,34,1
60,74,1
50,74,1
50,33,1
34,43,1
96,104,1
34,96,1
33,60,1
60,43,1
69,96,1
96,92,1
43,69,1
44,45,1
29,44,1
69,44,1
45,31,1
45,102,1
7,102,1
102,86,1
1,47,1
47,3,1
86,98,1
86,47,1
98,46,1
3,97,1
3,91,1
98,1,1
7,98,1
2,31,1
31,59,1
59,7,1
82,7,1
105,51,1
51,97,1
95,1,1
91,11,1
51,56,1
1,91,1
91,51,1
105,48,1
11,105,1
95,11,1
13,56,1
56,48,1
56,94,1
48,6,1
94,90,1
94,70,1
6,94,1
90,25,1
25,15,1
6,25,1
25,71,1
89,58,1
89,5,1
17,89,1
15,89,1
15,55,1
39,15,1
57,58,1
58,103,1
58,79,1
49,79,1
79,107,1
37,90,1
13,70,1
70,37,1
97,13,1
92,59,1
92,65,1
59,61,1
93,92,1
93,61,1
104,93,1
61,82,1
82,46,1
46,95,1
