79878.59,59077.32
41,36,1
41,99,1
36,9,1
22,106,1
106,4,1
106,50,1
50,74,1
74,4,1
74,34,1
4,108,1
4,28,1
9,99,1
99,38,1
38,26,1
38,30,1
20,28,1
28,34,1
66,30,1
59,7,1
59,61,1
82,7,1
91,11,1
13,56,1
56,48,1
6,94,1
94,90,1
90,25,1
25,15,1
15,55,1
15,89,1
17,89,1
58,103,1
49,79,1
80,40,2
80,84,2
84,16,2
84,42,2
16,75,2
75,42,2
75,62,2
42,23,2
42,40,2
40,100,2
100,23,2
23,62,2
3,91,2
3,97,2
51,97,2
97,13,2
13,70,2
48,6,2
48,27,2
27,18,2
27,72,2
18,12,2
18,73,2
12,24,2
24,73,2
24,64,2
73,10,2
73,72,2
72,6,2
72,71,2
6,25,2
94,70,2
70,37,2
37,90,2
25,71,2
71,10,2
71,39,2
10,64,2
10,88,2
64,83,2
83,52,2
83,88,2
88,39,2
88,76,2
39,5,2
39,15,2
89,5,2
89,58,2
5,76,2
5,57,2
76,52,2
76,81,2
52,78,2
78,54,2
78,81,2
81,14,2
81,57,2
57,58,2
57,107,2
58,79,2
79,107,2
107,14,2
14,54,2
36,22,3
22,108,3
50,33,3
33,60,3
60,43,3
60,74,3
108,9,3
108,20,3
9,26,3
26,20,3
26,66,3
20,77,3
28,104,3
34,43,3
34,96,3
43,69,3
69,44,3
69,96,3
96,92,3
96,104,3
104,77,3
104,93,3
77,66,3
77,85,3
66,53,3
30,8,3
8,53,3
8,16,3
53,85,3
53,84,3
85,80,3
85,93,3
93,61,3
93,92,3
92,59,3
92,65,3
29,44,3
44,45,3
45,31,3
45,102,3
2,31,3
31,59,3
61,80,3
61,82,3
40,82,3
82,46,3
7,102,3
7,98,3
102,86,3
86,47,3
86,98,3
98,1,3
98,46,3
46,100,3
46,95,3
100,101,3
23,63,3
62,67,3
67,19,3
67,63,3
63,101,3
63,68,3
101,35,3
101,95,3
95,1,3
95,11,3
1,47,3
1,91,3
47,3,3
91,51,3
11,35,3
11,105,3
35,32,3
35,68,3
68,19,3
68,21,3
19,87,3
87,12,3
87,21,3
21,18,3
21,32,3
32,27,3
32,105,3
105,48,3
105,51,3
51,56,3
56,94,3
