brushed_print1,brushed_print2,brushed_print3
52,78,1
78,54,1
76,52,1
14,54,1
83,52,1
78,81,1
83,88,1
64,83,1
88,76,1
5,76,1
107,14,1
81,57,1
81,14,1
76,81,1
57,58,1
5,57,1
57,107,1
88,39,1
10,88,1
39,5,1
89,5,1
79,107,1
39,15,1
15,89,1
17,89,1
89,58,1
58,103,1
58,79,1
49,79,1
15,55,1
25,15,1
71,39,1
71,10,1
10,64,1
73,10,1
73,72,1
25,71,1
72,6,1
6,94,1
6,25,1
90,25,1
94,90,1
94,70,1
37,90,1
70,37,1
72,71,1
67,63,1
63,101,1
40,82,1
46,100,1
46,95,1
61,82,1
98,46,1
82,46,1
82,7,1
7,98,1
86,98,1
98,1,1
7,102,1
59,7,1
45,31,1
31,59,1
86,47,1
45,102,1
102,86,1
42,40,1
40,100,1
100,23,1
100,101,1
42,23,1
23,63,1
23,62,1
75,62,1
75,42,1
62,67,1
59,61,1
61,80,1
84,42,1
84,16,1
80,84,1
16,75,1
85,80,1
80,40,1
104,93,1
93,61,1
93,92,1
85,93,1
92,65,1
96,92,1
96,104,1
92,59,1
29,44,1
2,31,1
34,96,1
69,96,1
44,45,1
69,44,1
41,36,2
38,30,2
38,26,2
99,38,2
41,99,2
9,99,2
36,9,2
36,22,2
108,9,2
9,26,2
26,20,2
22,106,2
22,108,2
108,20,2
4,108,2
20,28,2
4,28,2
106,4,2
106,50,2
74,4,2
50,33,2
50,74,2
60,74,2
28,34,2
74,34,2
34,43,2
60,43,2
33,60,2
43,69,2
104,77,2
28,104,2
77,85,2
77,66,2
20,77,2
66,30,2
30,8,2
8,16,2
8,53,2
66,53,2
26,66,2
53,85,2
53,84,2
12,24,3
87,12,3
68,19,3
87,21,3
67,19,3
19,87,3
18,12,3
18,73,3
21,32,3
21,18,3
68,21,3
63,68,3
27,18,3
35,68,3
32,27,3
101,35,3
32,105,3
35,32,3
11,35,3
48,27,3
27,72,3
101,95,3
91,11,3
11,105,3
56,48,3
105,51,3
105,48,3
1,91,3
3,91,3
91,51,3
51,97,3
51,56,3
56,94,3
13,56,3
1,47,3
97,13,3
13,70,3
47,3,3
3,97,3
95,1,3
95,11,3
48,6,3
24,73,3
24,64,3
