first time, three scores, then objinputs+edgelist
92.46879
0
250768,197136.9,1
0,0,2
0,0,3
250768,0,Fullscore
0,0,0
38,26,1
99,38,1
38,30,1
9,99,1
41,36,1
9,26,1
26,66,1
36,22,1
41,99,1
36,9,1
108,9,1
30,8,1
66,53,1
66,30,1
8,53,1
53,84,1
8,16,1
84,16,1
16,75,1
75,62,1
62,67,1
83,52,1
52,78,1
78,54,1
107,14,1
14,54,1
82,46,1
22,108,1
49,79,1
58,103,1
58,79,1
37,90,1
70,37,1
13,70,1
97,13,1
3,97,1
47,3,1
86,47,1
60,43,1
60,74,1
33,60,1
50,74,1
50,33,1
106,50,13
106,4,13
22,106,13
74,4,13
4,108,13
4,28,13
20,28,13
93,61,13
95,1,13
98,46,13
46,100,13
46,95,13
101,95,13
95,11,13
11,105,13
11,35,13
105,48,13
32,105,13
105,51,13
48,6,13
56,48,13
27,72,13
72,6,13
48,27,13
6,94,13
6,25,13
25,71,13
25,15,13
90,25,13
39,15,13
71,39,13
72,71,13
71,10,13
39,5,13
15,55,13
15,89,13
89,5,13
88,39,13
57,58,13
89,58,13
17,89,13
5,57,13
5,76,13
81,57,13
57,107,13
79,107,13
83,88,13
10,88,13
10,64,13
73,10,13
81,14,13
78,81,13
76,81,13
76,52,13
88,76,13
73,72,13
24,64,13
24,73,13
18,73,13
64,83,13
12,24,13
87,12,13
18,12,13
21,18,13
27,18,13
68,21,13
35,68,13
21,32,13
63,68,13
67,19,13
87,21,13
68,19,13
19,87,13
101,35,13
63,101,13
67,63,13
23,63,13
23,62,13
100,101,13
100,23,13
42,23,13
42,40,13
84,42,13
80,40,13
40,100,13
40,82,13
75,42,13
61,80,13
85,93,13
85,80,13
104,77,13
77,85,13
61,82,13
96,104,13
28,104,13
104,93,13
59,61,13
93,92,13
28,34,13
69,96,13
96,92,13
92,65,13
92,59,13
74,34,13
34,43,13
34,96,13
29,44,13
2,31,13
45,31,13
44,45,13
59,7,13
31,59,13
43,69,13
69,44,13
45,102,13
7,102,13
82,7,13
102,86,13
7,98,13
86,98,13
98,1,13
1,47,13
1,91,13
3,91,13
51,97,13
91,11,13
91,51,13
51,56,13
94,90,13
94,70,13
56,94,13
13,56,13
108,20,13
77,66,13
20,77,13
26,20,13
80,84,13
53,85,13
35,32,13
32,27,13
