first time, three scores, then objinputs+edgelist
71.20418
117017.8,81297.63,1
117017.8,81297.63,2
0,0,3
117017.8,0,Fullscore
0,0,0
41,36,12
36,9,12
36,22,12
22,106,12
22,108,12
9,26,12
9,99,12
108,20,12
108,9,12
4,108,12
41,99,12
99,38,12
20,77,12
20,28,12
26,66,12
26,20,12
38,26,12
104,77,12
77,66,12
66,53,12
66,30,12
77,85,12
38,30,12
85,93,12
85,80,12
53,84,12
53,85,12
8,53,12
30,8,12
8,16,12
106,4,12
106,50,12
28,104,12
74,4,12
28,34,12
4,28,12
104,93,12
96,104,12
50,74,12
74,34,12
60,74,12
34,96,12
93,92,12
34,43,12
93,61,12
96,92,12
50,33,12
69,96,12
92,59,12
92,65,12
2,31,12
29,44,12
43,69,12
69,44,12
60,43,12
33,60,12
44,45,12
45,31,12
31,59,12
59,61,12
59,7,12
61,80,12
61,82,12
40,82,12
82,7,12
82,46,12
42,40,12
40,100,12
46,100,12
80,40,12
80,84,12
84,42,12
84,16,12
100,23,12
100,101,12
42,23,12
75,42,12
23,63,12
23,62,12
16,75,12
75,62,12
62,67,12
63,101,12
67,63,12
63,68,12
101,35,12
101,95,12
95,11,12
95,1,12
98,46,12
46,95,12
98,1,12
86,98,12
7,98,12
7,102,12
1,47,12
1,91,12
45,102,12
102,86,12
3,91,12
86,47,12
91,11,12
91,51,12
47,3,12
11,35,12
11,105,12
35,68,12
32,105,12
32,27,12
21,32,12
35,32,12
87,21,12
21,18,12
68,19,12
68,21,12
67,19,12
87,12,12
19,87,12
18,12,12
12,24,12
27,18,12
18,73,12
27,72,12
48,27,12
72,6,12
56,48,12
105,51,12
105,48,12
48,6,12
6,94,12
6,25,12
51,56,12
51,97,12
13,56,12
56,94,12
94,90,12
94,70,12
3,97,12
97,13,12
37,90,12
90,25,12
13,70,12
70,37,12
15,55,12
25,71,12
25,15,12
17,89,12
15,89,12
39,15,12
73,72,12
89,5,12
89,58,12
72,71,12
71,10,12
71,39,12
24,73,12
83,88,12
88,76,12
10,88,12
10,64,12
73,10,12
39,5,12
5,57,12
5,76,12
88,39,12
57,58,12
76,52,12
76,81,12
81,57,12
57,107,12
52,78,12
83,52,12
81,14,12
78,81,12
24,64,12
64,83,12
78,54,12
107,14,12
14,54,12
79,107,12
58,103,12
58,79,12
49,79,12
